因为 because
最喜欢的 favorite
真的 really
人们 people
总是 always
一起 together
不同的 different
明天 tomorrow
回答 answer
美丽的 beautiful
学校 school
家庭 family
工作 work
商店 store
朋友 friend
星期三 wednesday
医院 hospital
重要的 important
动物 animal
城市 city
国家 country
家 home
房子 house
老师 teacher
学生 student
水 water
食物 food
快乐的 happy
天气 weather
健康 health
学习 learning
早餐 breakfast
晚餐 dinner
会议 meeting
电话 telephone
医生 doctor
电脑 computer
巧克力 chocolate
困难的 difficult
照片 photo
家务 housework
生日 birthday
音乐 music
故事 story
水平/能力 ability
舞蹈 dance
英语 english
图书馆 library
旅行 travel
市场 market
科学 science
睡觉 sleep
喝 drink
苹果 apple
午餐 lunch
飞机 airplane
自然的 natural
外国的 foreign
知识 knowledge
图画 picture
交通 traffic
建议 suggestion
家具 furniture
语言 language
环境 environment
危险的 dangerous
机会 opportunity
记忆 memory
机器 machine
工程师 engineer
文化 culture
安全的 safe
运动 exercise
战争 war
笑 laugh
大学 university
决定 decide
未来 future
银行 bank
工具 tool
帮助 help
感觉 feel
效率 efficiency
任务 task
着急的 anxious
日常的 daily
地球 earth
音量 volume
工厂 factory
资源 resource
项目 project
文化的 cultural
明显的 obvious
常常 often
重要性 importance
解决 solve
运动鞋 sneakers
家乡 hometown
平均 average
传统 tradition
信息 information
交流 communicate
社区 community
注意 attention
建筑物 building
真实的 truth
决心 determination
讨论 discuss
选择 choice
区别 difference
允许 allow
改善 improve
可能的 possiable
系统 system
方法 method
社会 society
历史 history
目的 purpose
速度 speed
方向 direction
技术 technology
美丽的 beautiful
经验 exprience
商业 business
年轻的 young
支持 support
价格 price
质量 quality
结果 result
成功 success
失败 failure
原因 reason
改变 change
计划 plan
规则 rule
建立 build
提供 provide
接受 accept
拒绝 reject
解释 explain
增加 increase
减少 decrease
保护 protect
包含 include
准备 prepare
继续 continue
地址 address
建议 advise
影响 influence
发展 development
责任 responsibility
细节 detail
说明 describe
比较 compare
政府 government
可能性 possibilities
活动 activity
乘客 passenger
温度 temperature
竞争 competition
表达 express
位置 position
材料 material
进步 progress
解决方案 solution
习惯 habit
