因为 because
最喜欢的 favorite
真的 really
人们 people
总是 always
一起 together
不同的 different
明天 tomorrow
回答 answer
美丽的 beautiful
学校 school
家庭 family
动物 animal
工作 work
商店 store
朋友 friend
老师 teacher
星期三 wednesday
医院 hospital
重要的 important
动物 animal
城市 city
国家 country
家 home
房子 house
老师 teacher
学生 student
水 water
食物 food
快乐的 happy
天气 weather
健康 health
学习 learning
早餐 breakfast
晚餐 dinner
会议 meeting
电话 telephone
医生 doctor
电脑 computer
巧克力 chocolate
困难的 difficult
照片 photo
家务 housework
生日 birthday
城市 city
音乐 music
故事 story
水平/能力 ability
舞蹈 dance
英语 english
图书馆 library
旅行 travel
市场 market
科学 science
睡觉 sleep
喝 drink
苹果 apple
午餐 lunch
飞机 airplane
自然的 natural
外国的 foreign
知识 knowledge
图画 picture
快乐的 happy
交通 traffic
建议 suggestion
家具 furniture
语言 language
环境 environment
危险的 dangerous
